Postcode,Council,Official_Council_Name,Council_Website,Bin_Collection_URL,Region,Nation,Bin_Type,Bin_Color,Bin_Description,Bin_Contents,Collection_Frequency,Collection_Day,Next_2_Months_Dates,Next_Collection_Date,Generated_Date
E2 1ZR,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Garden Waste,Green,Garden and organic waste,"Grass cuttings, leaves, branches, plant trimmings",fortnightly,Friday,2025-07-04; 2025-07-18; 2025-08-01; 2025-08-15; 2025-08-29,04/07/2025,03/07/2025 00:58
E2 1ZR,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,General Waste,Black,General household waste (non-recyclable),"Food waste, nappies, pet waste, non-recyclable packaging",weekly,Monday,2025-07-07; 2025-07-14; 2025-07-21; 2025-07-28; 2025-08-04; 2025-08-11; 2025-08-18; 2025-08-25,07/07/2025,03/07/2025 00:58
E2 1ZR,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Glass Recycling,Purple,Glass bottles and jars,"Glass bottles, jars, containers (clear and colored)",monthly,Wednesday,2025-07-09; 2025-08-06,09/07/2025,03/07/2025 00:58
E2 1ZR,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Mixed Recycling,Blue,Mixed recyclable materials,"Plastic bottles, cans, tins, cardboard, paper",fortnightly,Tuesday,2025-07-08; 2025-07-22; 2025-08-05; 2025-08-19,08/07/2025,03/07/2025 00:58
E2 1ZR,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Paper Recycling,White,Paper and cardboard,"Newspapers, magazines, cardboard boxes, office paper",fortnightly,Friday,2025-07-04; 2025-07-18; 2025-08-01; 2025-08-15; 2025-08-29,04/07/2025,03/07/2025 00:58
E2 1ZR,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Small Electrical,Red,Small electrical items,"Phones, cables, small appliances, batteries",monthly,Monday,2025-07-07; 2025-08-04; 2025-09-01,07/07/2025,03/07/2025 00:58
LE7 4DW,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Garden Waste,Green,Garden and organic waste,"Grass cuttings, leaves, branches, plant trimmings",fortnightly,Friday,2025-07-04; 2025-07-18; 2025-08-01; 2025-08-15; 2025-08-29,04/07/2025,03/07/2025 00:58
LE7 4DW,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,General Waste,Black,General household waste (non-recyclable),"Food waste, nappies, pet waste, non-recyclable packaging",weekly,Thursday,2025-07-10; 2025-07-17; 2025-07-24; 2025-07-31; 2025-08-07; 2025-08-14; 2025-08-21; 2025-08-28,10/07/2025,03/07/2025 00:58
LE7 4DW,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Glass Recycling,Purple,Glass bottles and jars,"Glass bottles, jars, containers (clear and colored)",monthly,Wednesday,2025-07-09; 2025-08-06,09/07/2025,03/07/2025 00:58
LE7 4DW,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Mixed Recycling,Blue,Mixed recyclable materials,"Plastic bottles, cans, tins, cardboard, paper",fortnightly,Wednesday,2025-07-09; 2025-07-23; 2025-08-06; 2025-08-20,09/07/2025,03/07/2025 00:58
LE7 4DW,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Paper Recycling,White,Paper and cardboard,"Newspapers, magazines, cardboard boxes, office paper",fortnightly,Tuesday,2025-07-08; 2025-07-22; 2025-08-05; 2025-08-19,08/07/2025,03/07/2025 00:58
LE7 4DW,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Textile Recycling,Orange,Clothing and textiles,"Clothes, shoes, bags, curtains, bedding",monthly,Tuesday,2025-07-08; 2025-08-05,08/07/2025,03/07/2025 00:58
LS10 5TA,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Food Waste,Brown,Food and kitchen waste,"Food scraps, peelings, leftovers, tea bags",weekly,Friday,2025-07-04; 2025-07-11; 2025-07-18; 2025-07-25; 2025-08-01; 2025-08-08; 2025-08-15; 2025-08-22,04/07/2025,03/07/2025 00:58
LS10 5TA,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Garden Waste,Green,Garden and organic waste,"Grass cuttings, leaves, branches, plant trimmings",fortnightly,Monday,2025-07-07; 2025-07-21; 2025-08-04; 2025-08-18; 2025-09-01,07/07/2025,03/07/2025 00:58
LS10 5TA,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,General Waste,Black,General household waste (non-recyclable),"Food waste, nappies, pet waste, non-recyclable packaging",weekly,Thursday,2025-07-10; 2025-07-17; 2025-07-24; 2025-07-31; 2025-08-07; 2025-08-14; 2025-08-21; 2025-08-28,10/07/2025,03/07/2025 00:58
LS10 5TA,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Glass Recycling,Purple,Glass bottles and jars,"Glass bottles, jars, containers (clear and colored)",monthly,Tuesday,2025-07-08; 2025-08-05,08/07/2025,03/07/2025 00:58
LS10 5TA,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Mixed Recycling,Blue,Mixed recyclable materials,"Plastic bottles, cans, tins, cardboard, paper",fortnightly,Friday,2025-07-04; 2025-07-18; 2025-08-01; 2025-08-15; 2025-08-29,04/07/2025,03/07/2025 00:58
LS10 5TA,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Paper Recycling,White,Paper and cardboard,"Newspapers, magazines, cardboard boxes, office paper",fortnightly,Thursday,2025-07-10; 2025-07-24; 2025-08-07; 2025-08-21,10/07/2025,03/07/2025 00:58
LS10 5TA,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Textile Recycling,Orange,Clothing and textiles,"Clothes, shoes, bags, curtains, bedding",monthly,Tuesday,2025-07-08; 2025-08-05,08/07/2025,03/07/2025 00:58
NE6 6UW,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Food Waste,Brown,Food and kitchen waste,"Food scraps, peelings, leftovers, tea bags",weekly,Thursday,2025-07-10; 2025-07-17; 2025-07-24; 2025-07-31; 2025-08-07; 2025-08-14; 2025-08-21; 2025-08-28,10/07/2025,03/07/2025 00:58
NE6 6UW,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Garden Waste,Green,Garden and organic waste,"Grass cuttings, leaves, branches, plant trimmings",fortnightly,Thursday,2025-07-10; 2025-07-24; 2025-08-07; 2025-08-21,10/07/2025,03/07/2025 00:58
NE6 6UW,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Glass Recycling,Purple,Glass bottles and jars,"Glass bottles, jars, containers (clear and colored)",monthly,Monday,2025-07-07; 2025-08-04; 2025-09-01,07/07/2025,03/07/2025 00:58
NE6 6UW,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Mixed Recycling,Blue,Mixed recyclable materials,"Plastic bottles, cans, tins, cardboard, paper",fortnightly,Friday,2025-07-04; 2025-07-18; 2025-08-01; 2025-08-15; 2025-08-29,04/07/2025,03/07/2025 00:58
NE6 6UW,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Paper Recycling,White,Paper and cardboard,"Newspapers, magazines, cardboard boxes, office paper",fortnightly,Thursday,2025-07-10; 2025-07-24; 2025-08-07; 2025-08-21,10/07/2025,03/07/2025 00:58
NE6 6UW,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Small Electrical,Red,Small electrical items,"Phones, cables, small appliances, batteries",monthly,Monday,2025-07-07; 2025-08-04; 2025-09-01,07/07/2025,03/07/2025 00:58
NE6 6UW,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Textile Recycling,Orange,Clothing and textiles,"Clothes, shoes, bags, curtains, bedding",monthly,Wednesday,2025-07-09; 2025-08-06,09/07/2025,03/07/2025 00:58
RG7 6JD,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Food Waste,Brown,Food and kitchen waste,"Food scraps, peelings, leftovers, tea bags",weekly,Tuesday,2025-07-08; 2025-07-15; 2025-07-22; 2025-07-29; 2025-08-05; 2025-08-12; 2025-08-19; 2025-08-26,08/07/2025,03/07/2025 00:58
RG7 6JD,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Garden Waste,Green,Garden and organic waste,"Grass cuttings, leaves, branches, plant trimmings",fortnightly,Friday,2025-07-04; 2025-07-18; 2025-08-01; 2025-08-15; 2025-08-29,04/07/2025,03/07/2025 00:58
RG7 6JD,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,General Waste,Black,General household waste (non-recyclable),"Food waste, nappies, pet waste, non-recyclable packaging",weekly,Tuesday,2025-07-08; 2025-07-15; 2025-07-22; 2025-07-29; 2025-08-05; 2025-08-12; 2025-08-19; 2025-08-26,08/07/2025,03/07/2025 00:58
RG7 6JD,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Glass Recycling,Purple,Glass bottles and jars,"Glass bottles, jars, containers (clear and colored)",monthly,Monday,2025-07-07; 2025-08-04; 2025-09-01,07/07/2025,03/07/2025 00:58
RG7 6JD,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Mixed Recycling,Blue,Mixed recyclable materials,"Plastic bottles, cans, tins, cardboard, paper",fortnightly,Wednesday,2025-07-09; 2025-07-23; 2025-08-06; 2025-08-20,09/07/2025,03/07/2025 00:58
RG7 6JD,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Textile Recycling,Orange,Clothing and textiles,"Clothes, shoes, bags, curtains, bedding",monthly,Monday,2025-07-07; 2025-08-04; 2025-09-01,07/07/2025,03/07/2025 00:58
S6 3JH,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Food Waste,Brown,Food and kitchen waste,"Food scraps, peelings, leftovers, tea bags",weekly,Tuesday,2025-07-08; 2025-07-15; 2025-07-22; 2025-07-29; 2025-08-05; 2025-08-12; 2025-08-19; 2025-08-26,08/07/2025,03/07/2025 00:58
S6 3JH,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Garden Waste,Green,Garden and organic waste,"Grass cuttings, leaves, branches, plant trimmings",fortnightly,Friday,2025-07-04; 2025-07-18; 2025-08-01; 2025-08-15; 2025-08-29,04/07/2025,03/07/2025 00:58
S6 3JH,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,General Waste,Black,General household waste (non-recyclable),"Food waste, nappies, pet waste, non-recyclable packaging",weekly,Wednesday,2025-07-09; 2025-07-16; 2025-07-23; 2025-07-30; 2025-08-06; 2025-08-13; 2025-08-20; 2025-08-27,09/07/2025,03/07/2025 00:58
S6 3JH,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Glass Recycling,Purple,Glass bottles and jars,"Glass bottles, jars, containers (clear and colored)",monthly,Wednesday,2025-07-09; 2025-08-06,09/07/2025,03/07/2025 00:58
S6 3JH,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Mixed Recycling,Blue,Mixed recyclable materials,"Plastic bottles, cans, tins, cardboard, paper",fortnightly,Thursday,2025-07-10; 2025-07-24; 2025-08-07; 2025-08-21,10/07/2025,03/07/2025 00:58
S6 3JH,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Textile Recycling,Orange,Clothing and textiles,"Clothes, shoes, bags, curtains, bedding",monthly,Monday,2025-07-07; 2025-08-04; 2025-09-01,07/07/2025,03/07/2025 00:58
W1C 7DX,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Food Waste,Brown,Food and kitchen waste,"Food scraps, peelings, leftovers, tea bags",weekly,Wednesday,2025-07-09; 2025-07-16; 2025-07-23; 2025-07-30; 2025-08-06; 2025-08-13; 2025-08-20; 2025-08-27,09/07/2025,03/07/2025 00:58
W1C 7DX,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Garden Waste,Green,Garden and organic waste,"Grass cuttings, leaves, branches, plant trimmings",fortnightly,Tuesday,2025-07-08; 2025-07-22; 2025-08-05; 2025-08-19,08/07/2025,03/07/2025 00:58
W1C 7DX,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,General Waste,Black,General household waste (non-recyclable),"Food waste, nappies, pet waste, non-recyclable packaging",weekly,Thursday,2025-07-10; 2025-07-17; 2025-07-24; 2025-07-31; 2025-08-07; 2025-08-14; 2025-08-21; 2025-08-28,10/07/2025,03/07/2025 00:58
W1C 7DX,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Glass Recycling,Purple,Glass bottles and jars,"Glass bottles, jars, containers (clear and colored)",monthly,Friday,2025-07-04; 2025-08-01; 2025-08-29,04/07/2025,03/07/2025 00:58
W1C 7DX,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Mixed Recycling,Blue,Mixed recyclable materials,"Plastic bottles, cans, tins, cardboard, paper",fortnightly,Monday,2025-07-07; 2025-07-21; 2025-08-04; 2025-08-18; 2025-09-01,07/07/2025,03/07/2025 00:58
W1C 7DX,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Paper Recycling,White,Paper and cardboard,"Newspapers, magazines, cardboard boxes, office paper",fortnightly,Thursday,2025-07-10; 2025-07-24; 2025-08-07; 2025-08-21,10/07/2025,03/07/2025 00:58
E14 8PP,Bexley,London Borough of Bexley,https://bexley.gov.uk,https://bexley.gov.uk/services/rubbish-and-recycling/find-your-collection-day-and-report-missed-bin/when-my-rubbish-and-recycling-collected,London,England,Food Waste,Brown,Food and kitchen waste,"Food scraps, peelings, leftovers, tea bags",weekly,Monday,2025-07-07; 2025-07-14; 2025-07-21; 2025-07-28; 2025-08-04; 2025-08-11; 2025-08-18; 2025-08-25,07/07/2025,03/07/2025 00:58
E14 8PP,Bexley,London Borough of Bexley,https://bexley.gov.uk,https://bexley.gov.uk/services/rubbish-and-recycling/find-your-collection-day-and-report-missed-bin/when-my-rubbish-and-recycling-collected,London,England,Garden Waste,Green,Garden and organic waste,"Grass cuttings, leaves, branches, plant trimmings",fortnightly,Thursday,2025-07-10; 2025-07-24; 2025-08-07; 2025-08-21,10/07/2025,03/07/2025 00:58
E14 8PP,Bexley,London Borough of Bexley,https://bexley.gov.uk,https://bexley.gov.uk/services/rubbish-and-recycling/find-your-collection-day-and-report-missed-bin/when-my-rubbish-and-recycling-collected,London,England,General Waste,Black,General household waste (non-recyclable),"Food waste, nappies, pet waste, non-recyclable packaging",weekly,Monday,2025-07-07; 2025-07-14; 2025-07-21; 2025-07-28; 2025-08-04; 2025-08-11; 2025-08-18; 2025-08-25,07/07/2025,03/07/2025 00:58
E14 8PP,Bexley,London Borough of Bexley,https://bexley.gov.uk,https://bexley.gov.uk/services/rubbish-and-recycling/find-your-collection-day-and-report-missed-bin/when-my-rubbish-and-recycling-collected,London,England,Glass Recycling,Purple,Glass bottles and jars,"Glass bottles, jars, containers (clear and colored)",monthly,Monday,2025-07-07; 2025-08-04; 2025-09-01,07/07/2025,03/07/2025 00:58
E14 8PP,Bexley,London Borough of Bexley,https://bexley.gov.uk,https://bexley.gov.uk/services/rubbish-and-recycling/find-your-collection-day-and-report-missed-bin/when-my-rubbish-and-recycling-collected,London,England,Mixed Recycling,Blue,Mixed recyclable materials,"Plastic bottles, cans, tins, cardboard, paper",fortnightly,Tuesday,2025-07-08; 2025-07-22; 2025-08-05; 2025-08-19,08/07/2025,03/07/2025 00:58
E14 8PP,Bexley,London Borough of Bexley,https://bexley.gov.uk,https://bexley.gov.uk/services/rubbish-and-recycling/find-your-collection-day-and-report-missed-bin/when-my-rubbish-and-recycling-collected,London,England,Paper Recycling,White,Paper and cardboard,"Newspapers, magazines, cardboard boxes, office paper",fortnightly,Friday,2025-07-04; 2025-07-18; 2025-08-01; 2025-08-15; 2025-08-29,04/07/2025,03/07/2025 00:58
E18 5RT,Bexley,London Borough of Bexley,https://bexley.gov.uk,https://bexley.gov.uk/services/rubbish-and-recycling/find-your-collection-day-and-report-missed-bin/when-my-rubbish-and-recycling-collected,London,England,Garden Waste,Green,Garden and organic waste,"Grass cuttings, leaves, branches, plant trimmings",fortnightly,Thursday,2025-07-10; 2025-07-24; 2025-08-07; 2025-08-21,10/07/2025,03/07/2025 00:58
E18 5RT,Bexley,London Borough of Bexley,https://bexley.gov.uk,https://bexley.gov.uk/services/rubbish-and-recycling/find-your-collection-day-and-report-missed-bin/when-my-rubbish-and-recycling-collected,London,England,General Waste,Black,General household waste (non-recyclable),"Food waste, nappies, pet waste, non-recyclable packaging",weekly,Wednesday,2025-07-09; 2025-07-16; 2025-07-23; 2025-07-30; 2025-08-06; 2025-08-13; 2025-08-20; 2025-08-27,09/07/2025,03/07/2025 00:58
E18 5RT,Bexley,London Borough of Bexley,https://bexley.gov.uk,https://bexley.gov.uk/services/rubbish-and-recycling/find-your-collection-day-and-report-missed-bin/when-my-rubbish-and-recycling-collected,London,England,Paper Recycling,White,Paper and cardboard,"Newspapers, magazines, cardboard boxes, office paper",fortnightly,Friday,2025-07-04; 2025-07-18; 2025-08-01; 2025-08-15; 2025-08-29,04/07/2025,03/07/2025 00:58
E18 5RT,Bexley,London Borough of Bexley,https://bexley.gov.uk,https://bexley.gov.uk/services/rubbish-and-recycling/find-your-collection-day-and-report-missed-bin/when-my-rubbish-and-recycling-collected,London,England,Small Electrical,Red,Small electrical items,"Phones, cables, small appliances, batteries",monthly,Monday,2025-07-07; 2025-08-04; 2025-09-01,07/07/2025,03/07/2025 00:58
N4 7HW,Bexley,London Borough of Bexley,https://bexley.gov.uk,https://bexley.gov.uk/services/rubbish-and-recycling/find-your-collection-day-and-report-missed-bin/when-my-rubbish-and-recycling-collected,London,England,Food Waste,Brown,Food and kitchen waste,"Food scraps, peelings, leftovers, tea bags",weekly,Wednesday,2025-07-09; 2025-07-16; 2025-07-23; 2025-07-30; 2025-08-06; 2025-08-13; 2025-08-20; 2025-08-27,09/07/2025,03/07/2025 00:58
